attributeName,attributeDefinition,n,ECSO_ID
FH6WATER,Vitel volumetric water content no organic correction (m3/m3),1,
FH7_QV,7 Organic soil moisture content using algorithm of Hinzman (%),1,
FH7WATER,Vitel volumetric water content no organic correction (m3/m3),1,
field_date,Field date,1,
Field_season_end_date,"End date of field season, when camp was established and monitoring activities ceased",1,
Field_season_start_date,"Start date of field season, when camp was established and monitoring activities began",1,
Field_station,Availability of field station,1,
fieldID,Field identifier,1,
Filename,filename generated by LICOR-8100,1,
Final_wt,Net weight of bird (Weight - Bag_wt) to nearest 0.1 g,1,
finalsoiltemp,this was the final of the multiple soil temperature data averaged for the two collars degrees,1,
FKDOWN,Shortwave radiation down (Wm-2) (19m),1,
FKUP,Shortwave radiation up (Wm-2) (19m),1,
Fl (uM),flerovium,1,
Flag_type,Type of flag applied to bird,1,
FLAR,Data from FLEXPART: The Lagrangian particle dispersion model FLEXPART see Stohl et al. (1998 and 2005) for more details,1,
FLDOWN,Longwave radiation down (Wm-2) (19m),1,
float cdr_sea_ice_thickness,NOAA CDR of sea ice thickness,1,
float cdr_surface_albedo,NOAA CDR of surface broadband albedo,1,
float cdr_surface_downwelling_longwave_flux,NOAA CDR of surface downwelling longwave radiative flux,1,
float cdr_surface_temperature,NOAA CDR of surface skin temperature,1,
float cdr_surface_upwelling_longwave_flux,NOAA CDR of surface upwelling longwave radiative flux,1,
float cdr_surface_upwelling_shortwave_flux,NOAA CDR of surface upwelling shortwave radiative flux,1,
float cdr_toa_net_downward_shortwave_flux,NOAA CDR of TOA net downward shortwave radiative flux,1,
float cdr_toa_outgoing_longwave_flux,NOAA CDR of TOA outgoing longwave radiative flux,1,
float cdr_toa_outgoing_shortwave_flux,NOAA CDR of TOA outgoing shortwave radiative flux,1,
float cloud_optical_depth,cloud optical depth,1,
float cloud_particle_radius,cloud particle radius,1,
float cloud_top_temperature,cloud top temperature,1,
float surface_longwave_cloud_radiative_forcing,surface longwave cloud radiative forcing,1,
float surface_shortwave_cloud_radiative_forcing,surface shortwave cloud radiative forcing,1,
floatAge,float age,1,
floatDate,Date on which eggs were floated to age the nest,1,
Flow8100,LiCOR outputs,1,
FLSP,in-situ fluorescence,1,
FLUOR,Fluorescence measurement (using CTD sensor),1,
Fluorescence,Fluorescense (CTD sensor),1,
Fluorescence,Relative fluorescence,1,
FLUP,Longwave radiation up (Wm-2) (19m),1,
flux298,"uncalibrated intensity of the measurement at 295nm.  This is in dark and offset corrected counts per second (cps) at the detector; 0 cps implies no light.  Note that the wavelength scale is a nominal scale and may differ slightly from true wavelength.  Normally 295nm is used, but not all instruments had this wavelength within their spectral range, so if 295nm was out of range, the shortest reasonable wavelength was chosen and the name will differ (e.g. this column could be called flux310 if that was the shortest wavelength the detector measured).
",1,
flux340,"intensity at 340nm, which all instruments should have within their spectral range.",1,
flux360_8,"intensity at 360.8nm, the peak of an O4 absorption band. All instruments have this wavelength",1,
flux420,"intensity at 420nm.  Some instruments do not have 420nm, so the longest feasible wavelength is used if 420nm is out of range.",1,
FMEANWD,Mean horizontal wind direction of sonic (205cm) (m.s-1),1,
FMEANWD,Mean horizontal wind direction of sonic (205cm)(m.s-1),1,
Fo_mean,F0 from PAM (background fluorescence),1,
Fo_mean_error,Mean error of F0,1,
Fo_mean_error_FLAG_W,Quality flag of mean error of F0,1,
Fo_mean_FLAG_W,Quality flag of F0 from PAM (background fluorescence),1,
Fo_prop_error,Propagated error of F0,1,
Fo_prop_error_FLAG_W,Quality flag of propagated error of F0,1,
Food_freq,Food resources,1,
Food_resources,Food resources,1,
FRA,Surface fraction:sic or land,1,
fraction_moe,margin of error for fraction of modern standard,1,
FRH1,Fixed RH 12.8 m (%),1,
FRH1FIX,Fixed RH 12.8 m (%),1,
FRH2,Fixed RH 9.5 m (%),1,
FRH2FIX,Fixed RH 9.5 m (%),1,
FRN1FIX,FRN1FIX,1,
FRN2,Net radiation sensor 2 (Wm-2) (20m),1,
frost_ref,the frost in the reference (zenith = 90 degree elevation) spectrum,1,
frost_spec,"the frost on the window for the spectrum in counts.  Note that data are cut when frost is above a threshold, but that threshold varies with instrument.",1,
Frozen DIN N-mg/m2,Soil dissolved inorganic nitrogen pool scaled to segment height,1,
Frozen N g/m2,Soil total nitrogen pool scaled segment height,1,
FROZEN_PROTECTIVE_LAYER,"Thickness of frozen soil layer on top of massive ice bodies on the day or drilling (includes the frozen part of the active layer, transient layer and intermediate layer)",1,
FRUTICOSE_LICHEN,Fruticose lichen cover in % ,1,
FRV,Vegetation Class Coverage,1,
FSHFP1,Soil heat flux plate 2,1,
FSHFP1,Soil heat flux plate1,1,
FSHFP2,Soil heat flux plate 2,1,
FSHFP2,Soil heat flux plate1,1,
FT1FIX,Fixed air temp 12.8 m (oC),1,
FT2FIX,Fixed air temp 9.5m (oC0,1,
FTEMP3,Air temp 7.5 m (oC),1,
FTEMP4,Air temp 0.5 m (oC),1,
Functional_group,Functional group recorded at sample site. Only applies to the Species_1 column only.,1,
FVALIDY,Validy is sum of other valid so if all valid then validy=8,1,
FvFm_mean,Fv:Fm (PAM),1,
FvFm_mean_error,Mean error of Fv:Fm,1,
FvFm_mean_error_FLAG_W,Quality flag of Fv:Fm mean error,1,
FvFm_mean_FLAG_W,Quality flag of Fv:Fm,1,
FvFm_prop_error,Propagated error of Fv:Fm,1,
FvFm_prop_error_FLAG_W,Quality flag of Fv:Fm propagated error,1,
FWD,Wind direction (oTN),1,
FWD1,Wind direction (oTN),1,
FWS,Wind speed (ms-1) (20m),1,
FWS1,Wind speed (ms-1) (20m),1,
G,Average ground heat flux,1,
G_1_Avg,Soil heat flux  sensor #1,1,
G_1_AVG,Soil heat flux 1,1,
G_1_AVG  L,Soil heat flux  sensor #1,1,
G_2_Avg,Soil heat flux  sensor #2,1,
G_2_AVG,Soil heat flux 2,1,
G_2_AVG  L,Soil heat flux  sensor #2,1,
G_3_Avg,Soil heat flux  sensor #3,1,
G_3_AVG,Soil heat flux 3,1,
G_3_AVG  L,Soil heat flux  sensor #3,1,
G_4_Avg,Soil heat flux  sensor #4,1,
G_S,Surface ground heat flux (Wm-2),1,
G11,g1 (Dendri./Spheri.),1,
G21,g2 (Sphericity/Size),1,
gamma,The density of gamma in the sample.,1,
GC#,Sort number for the GC that day,1,
Gd,Total Concentration of Gadolinium,1,
GearCode,What type of gear was used to collect the data,1,
gen_blood_amt,Amount of blood taken for genetic sample,1,
Genbank ID,Genbank ID,1,
Gene,Gene,1,
Gene_category,Gene_category,1,
genetic_blood,Blood collected for genetic sampling,1,
genetic_bloodpres,Type of preservative for genetic blood sample,1,
genetic_cap,Type of capillary tube used to collect sample for genetic blood sample.,1,
genus,type of plant,1,
Geo_tag_out,Identifier of geolocator tag,1,
Geo_time,Time of application,1,
GFED,Data from FLEXPART: The Lagrangian particle dispersion model FLEXPART see Stohl et al. (1998 and 2005) for more details,1,
Glacial age (ka),Glacial age (ka),1,
Glacial age (ka),Time since surface where feature was located was glaciated. Determined with maps of Tom Hamilton.,1,
GPS coordinates,GPS coordinates,1,
Gravel,Gravel % of soil,1,
Gravel ,% dry weight of gravel,1,
gravsoilmoist,gravimetric soil moisture (fraction),1,
Grazing,"Grazing treatment (Early, Typical, Late, None, Control)",1,
Greyscale_Reflectance,the measure of the proportion of light or other radiation striking a surface that is reflected off it,1,
Group,Group,1,
GrowingSeason,"Growing season treatment (Advanced, Ambient)",1,
Growth Form,"Growth form: Graminoid, Deciduous, Evergreen, Forbs, Mosses, Misc. (miscellaneous)",1,
Growth.Form,Growth form of Species,1,
growthCycle,Year and season of growth cycle,1,
Gus corr soil water,Gus corr soil water,1,
GustSpeed_km_hr,Gust speed,1,
GWC,"Gravimetric water content, %; water mass/dry soil mass * 100",1,
GWC %,Percent gravimetric water content in the sediment: (wet-dry weight)/dry weight *100,1,
H (3.1m),Sensible heat flux(W/m2),1,
H_S,Sensible heat flux (Wm-2),1,
H1_QVS,Organic water content using hinzmans polynomial calibration,1,
H2_QVS,Organic water content using hinzmans polynomial calibration,1,
H3_QVS,Organic water content using hinzmans polynomial calibration,1,
H4_QVS,Organic water content using hinzmans polynomial calibration,1,
Habitat_type,Habitat type,1,
hatchDate,Estimated date on which the nest hatched,1,
hatchDate_julian,Estimated julian date on which the nest hatched,1,
Hg_blood,Blood collected for methyl mercury testing,1,
Hg_blood_amt,Amount of blood (µl) taken for methyl mercury testing,1,
Hg_cap,Type of capillary tube used to collect sample for methyl mercury testing,1,
hh,hour,1,
HH,Date(YYYY MM DD HH),1,
Higher_classification,Higher classification,1,
hist_station_name,Name of station where data has been collected historically under a different name at the current DBO location,1,
HMP_RH_AVG,Relative humidity (%),1,
HMP_RH_AVG,Relative humidity (mV),1,
horizon,refers to soil horizon (O or B) for which analyses were done,1,
Horizon,Soil horizon,1,
Horizon,Soil horizon based on U.S. Soil Survey Staff 1975,1,
HORSETAILS,Horsetails cover in % live,1,
hour,hour of day,1,
hour,hour of measurement,1,
hour,Hour of measurement,1,
Hour,Hour (0Z or 12Z),1,
Hour,Hour of the day,1,
HourlyPrecip_mm,Hourly precipitation,1,
Hours,Total time spent at plot/search area,1,
how_found,Method by which the nest was discovered,1,
Hperc,Hydrogen (This value represents the percent of a given element found on the soils total exchange capacity.  Values should add to 100 for a given sample.),1,
hr,hour,1,
Human_activity_description,Description of human activity,1,
humidity_percent,"Relative humidity, %",1,
Hybrid morphology,Hybrid morphology,1,
Hydrology,Hydrology,1,
i_butane_numflag,Data flag for iso-butane,1,
i_pentane_numflag,Data flag for iso-pentane,1,
Ice Depth (m),Depth of sample,1,
id,Entry ID (row #),1,
ID,Lake identifier,1,
ID,Lake number,1,
identifier,Core with correspondant sediment sample depth ID (used to import MCD and age),1,
Identifier,Sample identifier,1,
Identifier_MCD,Core with correspondant sediment sample depth ID (used to import MCD and age),1,
identifier-MCD,Identifier composed of core site and MCD ,1,
impacted,Whether or not the sample has been effected by thermokarst activity,1,
Impacted,Binary category of whether site has had TK impact or not,1,
incDate,Estimated date on which incubation commenced,1,
IND,Data from FLEXPART: The Lagrangian particle dispersion model FLEXPART see Stohl et al. (1998 and 2005) for more details,1,
Industrial_development,Industrial development,1,
inflor,number of Salix inflorescences on Salix runner measured (only N3-N4),1,
Inflorescence,Number of inflorescences from aboveground biomass collection,1,
inflorescences_total,number of tillers with infloresences in a 10x10 area,1,
initDate,Estimated date on which the nest was initiated (first egg was laid),1,
initDate_julian,Estimated julian date on which the nest was initiated (first egg was laid),1,
Initiation_year,First year this site participated in the ASDN,1,
inner_or_outer_valley,Whether the valley is an inner or outer valley,1,
Insect,Insect,1,
insol_particles_ug_g,Concentration of insoluble particles,1,
Intensive_nest,Intensive nest survival methods,1,
INTERMEDIATE_LAYER,Intermediate layer thickness,1,
IVDate,Date and time of sample. *whenever IV is present that means the condition at the time the measurement ended.,1,
IVH2O,LiCOR outputs,1,
IVT1,soil temperature at 15cm,1,
IVTbench,LiCOR outputs,1,
IVTcham,LiCOR outputs,1,
IVV1,LiCOR outputs,1,
IWP,Ice Water Path,1,
Jdate,Julian date of observation,1,
Jdate,Julian date of predator-lemming survey,1,
Jdate_found,Julian date when nest was found,1,
Julian day,day of year,1,
Julian day,julian day,1,
k,potassium,1,
K,Potassium (Mehlich III extractable elements),1,
K,The amount of potassium,1,
K,Total Concentration of Potassium,1,
K,total soil K mg K/kg soil,1,
K (uM),Potassium,1,
K cps,"Amount of potassium, as counted per second",1,
K_mg_per_g,Potassium concentration,1,
K_uM,Potassium,1,
K_umol.kg,"Concentration of potassium ion in Lake 129 water sample under fast flow conditions, measured in micromoles per kilogram of water",1,
K_umol.kg,"Concentration of potassium ion in Lake 129 water sample, measured in micromoles per kilogram of water",1,
K_umol.kg,"Concentration of potassium ion in Lake 520 water sample, measured in micromoles per kilogram of water",1,
K_umol.kg,"Concentration of potassium ion in Lake 56 water sample, measured in micromoles per kilogram of water",1,
K_umol.kg,"Concentration of potassium ion in Manta Lake  water sample, measured in micromoles per kilogram of water",1,
K_umol.kg,"Concentration of potassium ion in North Head site 1  water sample, measured in micromoles per kilogram of water",1,
K_umol.kg,"Concentration of potassium ion in North Head site 2  water sample, measured in micromoles per kilogram of water",1,
K_umol.kg,"Concentration of potassium ion in Swiss Cheese Lake site 1  water sample, measured in micromoles per kilogram of water",1,
K_umol.kg,"Concentration of potassium ion in Swiss Cheese Lake site 2  water sample, measured in micromoles per kilogram of water",1,
KDEAD,percent K in dead leaves g K/100 g leaf,1,
KDOWNS,Epply shortwave radiation IN (Wm-2),1,
Kit #,Unique sample identifier,1,
KLIVE,percent K in live leaves g K/100 g leaf,1,
Known_renest,Whether or not one or both parents attending this nest had been observed attending a previous nest earlier in the season. Renesting occurred following failure of the previous nest. We recommend checking the values of this column against the data - values assigned in the field may not be accurate.,1,
Kperc,Potassium (This value represents the percent of a given element found on the soils total exchange capacity.  Values should add to 100 for a given sample.),1,
KRETRANS,K retranslocation efficiency percent,1,
KUPS,Epply shortwave radiation OUT,1,
L_S,Monin-Obukov length (m),1,
La,Total Concentration of Lanthanum,1,
La_nmol.kg,"Concentration of anthanum ion in Lake 129 water sample, measured in nanomoles per kilogram of water",1,
La_nmol.kg,"Concentration of anthanum ion in Lake 520 water sample, measured in nanomoles per kilogram of water",1,
